Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
10,Jalen Brunson,28,NYK,PG,65,65,35.4,9.0,18.5,.488,2.3,6.1,.383,6.7,12.4,.539,.551,5.7,6.9,.821,0.4,2.5,2.9,7.3,0.9,0.1,2.5,2.1,26.0,MVP-10CPOY-1ASNBA2,brunsja01
11,Paolo Banchero,22,ORL,PF,46,46,34.4,9.0,19.8,.452,1.9,5.9,.320,7.1,13.9,.509,.500,6.1,8.4,.727,1.1,6.4,7.5,4.8,0.8,0.6,3.0,2.1,25.9,,banchpa01
12,Devin Booker,28,PHO,SG,75,75,37.3,8.7,18.9,.461,2.4,7.3,.332,6.3,11.6,.542,.525,5.8,6.4,.894,1.0,3.1,4.1,7.1,0.9,0.2,2.9,2.6,25.6,,bookede01
13,LaMelo Ball,23,CHO,PG,47,47,32.0,8.6,21.3,.405,3.8,11.2,.339,4.8,10.1,.478,.494,4.1,4.9,.843,1.0,3.9,4.9,7.4,1.1,0.3,3.6,3.3,25.2,,ballla01
14,Damian Lillard,34,MIL,PG,58,58,36.1,7.7,17.1,.448,3.4,9.0,.376,4.3,8.1,.528,.547,6.2,6.8,.921,0.5,4.2,4.7,7.1,1.2,0.2,2.8,1.7,24.9,AS,lillada01
15,Anthony Davis,31,2TM,C,51,51,33.5,9.2,17.8,.516,0.7,2.4,.282,8.5,15.4,.553,.536,5.6,7.2,.775,2.6,8.9,11.6,3.5,1.2,2.2,2.2,1.9,24.7,AS,davisan02
15,Anthony Davis,31,LAL,C,42,42,34.3,9.5,18.0,.528,0.7,2.2,.298,8.9,15.8,.560,.546,6.0,7.6,.788,2.8,9.0,11.9,3.4,1.3,2.1,2.2,2.0,25.7,,davisan02
15,Anthony Davis,31,DAL,PF,9,9,29.6,7.8,16.9,.461,0.8,3.3,.233,7.0,13.6,.516,.484,3.7,5.3,.688,1.7,8.4,10.1,4.4,0.6,2.2,2.2,1.8,20.0,,davisan02
16,Kyrie Irving,32,DAL,SG,50,50,36.1,8.9,18.9,.473,2.9,7.2,.401,6.1,11.7,.517,.549,3.9,4.3,.916,1.2,3.6,4.8,4.6,1.3,0.5,2.2,2.0,24.7,CPOY-10AS,irvinky01
17,Zion Williamson,24,NOP,PF,30,30,28.6,9.6,16.9,.567,0.1,0.4,.231,9.5,16.5,.576,.570,5.3,8.0,.656,2.5,4.7,7.2,5.3,1.2,0.9,3.0,2.7,24.6,,willizi01
18,Stephen Curry,36,GSW,PG,70,70,32.2,8.1,18.0,.448,4.4,11.2,.397,3.6,6.8,.534,.572,4.0,4.3,.933,0.6,3.9,4.4,6.0,1.1,0.4,2.9,1.4,24.5,MVP-9CPOY-5ASNBA2,curryst01
19,LeBron James,40,LAL,SF,70,70,34.9,9.3,18.1,.513,2.1,5.7,.376,7.2,12.5,.574,.571,3.7,4.7,.782,1.0,6.8,7.8,8.2,1.0,0.6,3.7,1.4,24.4,MVP-6CPOY-7ASNBA2,jamesle01
20,Karl-Anthony Towns,29,NYK,C,72,72,35.0,8.9,16.9,.526,2.0,4.7,.420,6.9,12.2,.567,.584,4.7,5.7,.829,2.9,9.8,12.8,3.1,1.0,0.7,2.7,3.5,24.4,ASNBA3,townska01
21,Victor Wembanyama,21,SAS,C,46,46,33.2,8.9,18.6,.476,3.1,8.8,.352,5.8,9.9,.586,.559,3.4,4.1,.836,1.8,9.2,11.0,3.7,1.1,3.8,3.2,2.3,24.3,AS,wembavi01
22,Franz Wagner,23,ORL,SF,60,60,33.7,9.0,19.4,.463,1.7,5.9,.295,7.2,13.5,.535,.507,4.5,5.2,.871,0.9,4.8,5.7,4.7,1.3,0.4,2.3,2.5,24.2,,wagnefr01
23,Trae Young,26,ATL,PG,76,76,36.0,7.4,18.1,.411,2.9,8.4,.340,4.6,9.7,.474,.491,6.5,7.4,.875,0.5,2.6,3.1,11.6,1.2,0.2,4.7,1.9,24.2,CPOY-4AS,youngtr01
24,Donovan Mitchell,28,CLE,SG,71,71,31.4,8.2,18.6,.443,3.3,8.9,.368,5.0,9.7,.512,.531,4.2,5.1,.823,0.8,3.7,4.5,5.0,1.3,0.2,2.1,2.0,24.0,MVP-5CPOY-9ASNBA1,mitchdo01
25,Cam Thomas,23,BRK,SG,25,23,31.2,8.0,18.2,.438,2.7,7.8,.349,5.2,10.4,.506,.513,5.3,6.0,.881,0.6,2.7,3.3,3.8,0.6,0.1,2.5,1.8,24.0,,thomaca02
26,Tyler Herro,25,MIA,SG,77,77,35.4,8.5,17.9,.472,3.3,8.7,.375,5.2,9.2,.565,.563,3.7,4.2,.878,0.5,4.7,5.2,5.5,0.9,0.2,2.6,1.1,23.9,AS,herroty01
27,Joel Embiid,30,PHI,C,19,19,30.2,7.4,16.6,.444,1.2,4.1,.299,6.2,12.5,.492,.481,7.8,8.9,.882,1.9,6.3,8.2,4.5,0.7,0.9,3.3,2.2,23.8,,embiijo01
28,De'Aaron Fox,27,2TM,PG,62,62,36.1,8.7,18.8,.463,1.9,6.1,.310,6.8,12.6,.538,.514,4.2,5.1,.827,0.9,3.9,4.8,6.3,1.5,0.4,2.8,2.6,23.5,,foxde01
28,De'Aaron Fox,27,SAC,PG,45,45,37.0,9.2,19.6,.469,2.0,6.4,.322,7.2,13.3,.539,.521,4.5,5.5,.829,1.0,4.0,5.0,6.1,1.5,0.4,3.0,2.6,25.0,,foxde01
28,De'Aaron Fox,27,SAS,PG,17,17,34.0,7.4,16.5,.446,1.5,5.6,.274,5.8,10.9,.535,.493,3.5,4.2,.819,0.5,3.8,4.3,6.8,1.5,0.3,2.4,2.7,19.7,,foxde01
29,Zach LaVine,29,2TM,SG,74,74,35.2,8.4,16.5,.511,3.2,7.2,.446,5.2,9.3,.562,.609,3.2,3.9,.825,0.3,4.0,4.3,4.2,0.8,0.2,2.8,1.6,23.3,,lavinza01
29,Zach LaVine,29,CHI,SF,42,42,34.1,8.6,16.9,.511,3.2,7.3,.446,5.4,9.6,.560,.607,3.5,4.3,.797,0.3,4.5,4.8,4.5,0.9,0.2,2.9,1.5,24.0,,lavinza01
29,Zach LaVine,29,SAC,SG,32,32,36.6,8.2,16.0,.511,3.2,7.2,.446,5.0,8.8,.564,.611,2.8,3.2,.874,0.3,3.2,3.5,3.8,0.6,0.1,2.7,1.8,22.4,,lavinza01
30,Ja Morant,25,MEM,PG,50,50,30.4,8.1,17.8,.454,1.8,5.7,.309,6.3,12.1,.523,.504,5.3,6.4,.824,0.7,3.4,4.1,7.3,1.2,0.2,3.7,2.3,23.2,,moranja01
31,James Harden,35,LAC,PG,79,79,35.3,6.7,16.4,.410,3.0,8.5,.352,3.7,7.9,.472,.501,6.4,7.3,.874,0.7,5.1,5.8,8.7,1.5,0.7,4.3,2.1,22.8,MVP-10ASNBA3,hardeja01
32,Jaylen Brown,28,BOS,SF,63,63,34.3,8.2,17.7,.463,1.8,5.7,.324,6.4,12.1,.529,.515,3.9,5.1,.764,1.3,4.5,5.8,4.5,1.2,0.3,2.6,2.4,22.2,AS,brownja02
33,DeMar DeRozan,35,SAC,SF,77,77,35.9,8.1,17.0,.477,1.1,3.3,.328,7.0,13.7,.513,.509,4.9,5.7,.857,0.6,3.2,3.9,4.4,0.8,0.4,1.4,1.9,22.2,,derozde01
34,Brandon Ingram,27,NOP,SF,18,18,33.1,8.6,18.5,.465,2.4,6.4,.374,6.2,12.1,.514,.530,2.6,3.1,.855,0.9,4.6,5.6,5.2,0.9,0.6,3.8,2.5,22.2,,ingrabr01
35,Jaren Jackson Jr.,25,MEM,C,74,74,29.8,8.0,16.4,.488,2.0,5.3,.375,6.0,11.1,.541,.548,4.2,5.4,.781,1.2,4.4,5.6,2.0,1.2,1.5,2.1,3.5,22.2,DPOY-7ASDEF2,jacksja02
36,Norman Powell,31,LAC,SG,60,60,32.6,7.6,15.8,.484,3.0,7.1,.418,4.6,8.6,.538,.578,3.6,4.4,.804,0.4,2.8,3.2,2.1,1.2,0.2,1.8,1.9,21.8,,powelno01
37,Jalen Williams,23,OKC,SG,69,69,32.4,8.2,16.9,.484,1.8,4.9,.365,6.4,12.0,.533,.537,3.4,4.3,.789,0.9,4.5,5.3,5.1,1.6,0.7,2.2,2.3,21.6,ASNBA3DEF2,willija06
38,Kawhi Leonard,33,LAC,SF,37,37,31.9,8.4,16.8,.498,2.1,5.1,.411,6.3,11.7,.536,.560,2.6,3.3,.810,0.9,5.0,5.9,3.1,1.6,0.5,1.9,1.5,21.5,,leonaka01
39,Jamal Murray,27,DEN,PG,67,67,36.1,7.9,16.7,.474,2.3,5.9,.393,5.6,10.8,.518,.543,3.3,3.7,.886,0.7,3.2,3.9,6.0,1.4,0.5,2.1,1.9,21.4,,murraja01
40,Trey Murphy III,24,NOP,SF,53,51,35.0,7.2,15.8,.454,3.0,8.3,.361,4.2,7.6,.556,.548,3.8,4.3,.887,0.9,4.2,5.1,3.5,1.1,0.7,1.9,2.1,21.2,,murphtr02
41,RJ Barrett,24,TOR,SF,58,58,32.2,7.9,16.9,.468,1.8,5.3,.350,6.1,11.7,.522,.523,3.4,5.4,.630,1.1,5.3,6.3,5.4,0.8,0.3,2.8,2.4,21.1,,barrerj01
42,CJ McCollum,33,NOP,PG,56,56,32.7,7.9,17.9,.444,3.1,8.2,.373,4.9,9.7,.505,.530,2.2,3.1,.717,0.8,3.0,3.8,4.1,0.8,0.4,1.9,2.2,21.1,,mccolcj01
43,Jalen Green,22,HOU,SG,82,82,32.9,7.4,17.5,.423,2.9,8.1,.354,4.6,9.5,.482,.505,3.3,4.1,.813,0.5,4.0,4.6,3.4,0.9,0.3,2.5,1.5,21.0,,greenja05
44,Brandon Miller,22,CHO,SF,27,27,34.2,7.3,18.2,.403,3.9,10.9,.355,3.5,7.3,.475,.509,2.5,2.9,.861,0.9,3.9,4.9,3.6,1.1,0.7,2.8,2.7,21.0,,millebr02
45,Darius Garland,25,CLE,PG,75,75,30.7,7.4,15.7,.472,2.8,7.1,.401,4.6,8.6,.530,.562,3.0,3.4,.878,0.6,2.2,2.9,6.7,1.2,0.1,2.5,1.9,20.6,CPOY-6AS,garlada01
46,Jordan Poole,25,WAS,SG,68,68,29.4,6.7,15.5,.432,3.5,9.1,.378,3.3,6.4,.510,.544,3.6,4.0,.883,0.5,2.5,3.0,4.5,1.3,0.4,3.0,3.0,20.5,,poolejo01
47,Coby White,24,CHI,SG,74,73,33.1,6.9,15.1,.453,2.9,7.9,.370,3.9,7.3,.544,.550,3.7,4.1,.902,0.3,3.4,3.7,4.5,0.9,0.2,2.4,2.1,20.4,,whiteco01
48,Miles Bridges,26,CHO,PF,64,64,31.7,7.3,17.0,.431,2.2,7.0,.313,5.1,10.0,.513,.495,3.5,4.0,.870,1.1,6.4,7.5,3.9,0.7,0.7,2.1,1.5,20.3,,bridgmi02
49,Austin Reaves,26,LAL,SG,73,73,34.9,6.5,14.2,.460,2.7,7.3,.377,3.8,6.9,.547,.556,4.4,5.0,.877,0.8,3.7,4.5,5.8,1.1,0.3,2.4,2.1,20.2,,reaveau01
50,Pascal Siakam,30,IND,PF,78,78,32.7,7.9,15.2,.519,1.6,4.2,.389,6.2,11.0,.568,.572,2.9,3.9,.734,1.7,5.2,6.9,3.4,0.9,0.5,1.4,2.4,20.2,AS,siakapa01
51,Kristaps Porziņģis,29,BOS,C,42,42,28.8,6.6,13.7,.483,2.5,6.0,.412,4.1,7.7,.537,.572,3.8,4.7,.809,1.6,5.1,6.8,2.1,0.7,1.5,1.3,2.8,19.5,,porzikr01
52,Scottie Barnes,23,TOR,PF,65,65,32.8,7.3,16.4,.446,1.2,4.3,.271,6.1,12.0,.508,.482,3.5,4.6,.755,1.7,6.0,7.7,5.8,1.4,1.0,2.8,1.7,19.3,,barnesc01
53,Anfernee Simons,25,POR,SG,70,70,32.7,6.8,16.1,.426,3.1,8.5,.363,3.8,7.6,.496,.521,2.5,2.8,.902,0.4,2.3,2.7,4.8,0.9,0.1,2.0,1.7,19.3,,simonan01
54,Desmond Bane,26,MEM,SG,69,68,32.0,7.1,14.8,.484,2.4,6.1,.392,4.8,8.7,.548,.565,2.6,2.9,.894,0.9,5.2,6.1,5.3,1.2,0.4,2.4,2.4,19.2,,banede01
55,Domantas Sabonis,28,SAC,C,70,70,34.7,7.5,12.8,.590,0.9,2.2,.417,6.6,10.5,.627,.627,3.1,4.1,.754,3.8,10.1,13.9,6.0,0.7,0.4,2.9,3.3,19.1,,sabondo01
56,Alperen Şengün,22,HOU,C,76,76,31.5,7.5,15.0,.496,0.3,1.2,.233,7.2,13.9,.519,.505,3.9,5.6,.692,3.4,6.9,10.3,4.9,1.1,0.8,2.6,2.8,19.1,AS,sengual01
57,John Collins,27,UTA,PF,40,31,30.5,7.0,13.3,.527,1.5,3.7,.399,5.5,9.6,.577,.583,3.5,4.1,.848,2.2,6.0,8.2,2.0,1.0,1.0,2.6,2.9,19.0,,collijo01
58,Lauri Markkanen,27,UTA,PF,47,47,31.4,6.3,14.9,.423,2.9,8.5,.346,3.4,6.4,.525,.521,3.4,3.9,.876,1.5,4.4,5.9,1.5,0.7,0.4,1.4,1.7,19.0,,markkla01
59,Jalen Johnson,23,ATL,SF,36,36,35.7,7.5,15.1,.500,1.2,3.9,.312,6.3,11.1,.566,.541,2.6,3.5,.746,1.7,8.3,10.0,5.0,1.6,1.0,2.9,1.9,18.9,,johnsja05
60,Cameron Johnson,28,BRK,PF,57,57,31.6,6.2,13.1,.475,2.8,7.2,.390,3.4,5.9,.578,.582,3.5,3.9,.893,0.9,3.4,4.3,3.4,0.9,0.4,1.7,1.8,18.8,,johnsca02
61,Julius Randle,30,MIN,PF,69,69,32.3,6.6,13.6,.485,1.6,4.6,.344,5.0,9.1,.555,.542,3.9,4.9,.806,2.1,5.0,7.1,4.7,0.7,0.2,2.8,2.5,18.7,,randlju01
62,Tyrese Haliburton,24,IND,PG,73,73,33.6,6.5,13.8,.473,3.0,7.7,.388,3.5,6.1,.581,.582,2.6,3.0,.851,0.6,3.0,3.5,9.2,1.4,0.7,1.6,1.3,18.6,NBA3,halibty01
63,Evan Mobley,23,CLE,PF,71,71,30.5,7.1,12.8,.557,1.2,3.2,.370,5.9,9.5,.621,.604,3.1,4.3,.725,2.3,7.0,9.3,3.2,0.9,1.6,2.0,2.0,18.5,MVP-10DPOY-1ASNBA2DEF1,mobleev01
64,Shaedon Sharpe,21,POR,SG,72,52,31.3,6.9,15.3,.452,2.0,6.6,.311,4.9,8.8,.557,.519,2.6,3.4,.785,0.9,3.6,4.5,2.8,0.9,0.2,2.1,1.7,18.5,,sharpsh01
65,Nikola Vučević,34,CHI,C,73,72,31.2,7.5,14.2,.530,1.8,4.4,.402,5.8,9.8,.587,.592,1.6,2.0,.805,2.4,7.6,10.1,3.5,0.8,0.7,1.6,2.2,18.5,,vucevni01
66,Collin Sexton,26,UTA,SG,63,61,27.9,6.6,13.8,.480,1.7,4.3,.406,4.9,9.5,.513,.543,3.4,4.0,.865,1.0,1.8,2.7,4.2,0.7,0.1,2.5,2.3,18.4,,sextoco01
67,Michael Porter Jr.,26,DEN,SF,77,77,33.7,6.9,13.6,.504,2.5,6.4,.395,4.4,7.3,.599,.596,1.9,2.5,.768,1.8,5.2,7.0,2.1,0.6,0.5,1.4,2.0,18.2,,portemi01
68,Bam Adebayo,27,MIA,C,78,78,34.3,6.9,14.3,.485,1.0,2.8,.357,5.9,11.4,.517,.521,3.2,4.2,.765,2.4,7.2,9.6,4.3,1.3,0.7,2.1,2.1,18.1,DPOY-10,adebaba01
69,Andrew Wiggins,29,2TM,SF,60,60,30.7,6.3,14.0,.448,2.2,5.8,.374,4.1,8.2,.501,.526,3.3,4.3,.763,1.5,3.0,4.5,2.6,1.0,0.8,1.7,1.7,18.0,,wiggian01
69,Andrew Wiggins,29,GSW,SF,43,43,30.1,6.1,13.7,.444,2.2,5.8,.379,3.9,7.9,.491,.524,3.2,4.2,.777,1.5,3.0,4.6,2.4,0.9,0.8,1.3,1.6,17.6,,wiggian01
69,Andrew Wiggins,29,MIA,SF,17,17,32.1,6.8,14.8,.458,2.1,5.9,.360,4.6,8.9,.523,.530,3.4,4.6,.731,1.4,2.9,4.2,3.3,1.2,1.0,2.5,1.8,19.0,,wiggian01
70,OG Anunoby,27,NYK,PF,74,74,36.6,6.6,13.9,.476,2.3,6.2,.372,4.3,7.7,.561,.559,2.5,3.1,.810,1.3,3.5,4.8,2.2,1.5,0.9,1.4,2.3,18.0,,anunoog01
71,Mikal Bridges,28,NYK,SF,82,82,37.0,7.2,14.4,.500,2.0,5.6,.354,5.2,8.8,.594,.570,1.2,1.4,.814,0.9,2.3,3.2,3.7,0.9,0.5,1.6,1.5,17.6,,bridgmi01
72,Jaden Ivey,22,DET,SG,30,30,29.9,6.3,13.8,.460,2.1,5.1,.409,4.2,8.6,.490,.536,2.8,3.9,.733,1.3,2.8,4.1,4.0,0.9,0.4,3.0,2.2,17.6,,iveyja01
73,Jimmy Butler,35,2TM,SF,55,55,31.7,5.5,10.9,.504,0.6,1.9,.308,4.9,9.0,.546,.531,6.0,7.1,.842,2.3,3.1,5.4,5.4,1.4,0.3,1.3,0.9,17.5,,butleji01
73,Jimmy Butler,35,MIA,PF,25,25,30.6,5.7,10.5,.540,0.5,1.4,.361,5.2,9.1,.568,.565,5.2,6.4,.801,2.2,3.0,5.2,4.8,1.1,0.4,1.2,0.9,17.0,,butleji01
73,Jimmy Butler,35,GSW,SF,30,30,32.7,5.3,11.1,.476,0.6,2.3,.279,4.7,8.9,.526,.504,6.7,7.7,.870,2.3,3.2,5.5,5.9,1.7,0.3,1.5,1.0,17.9,,butleji01
74,Dejounte Murray,28,NOP,PG,31,31,32.6,6.3,15.9,.393,1.7,5.6,.299,4.6,10.3,.444,.445,3.3,4.0,.823,0.5,5.9,6.5,7.4,2.0,0.4,3.4,2.0,17.5,,murrade01
75,Malik Monk,26,SAC,SG,65,45,31.6,6.3,14.4,.439,2.1,6.6,.325,4.2,7.9,.534,.513,2.4,2.7,.865,0.5,3.3,3.8,5.6,0.9,0.6,2.4,2.4,17.2,,monkma01
76,Immanuel Quickley,25,TOR,PG,33,33,27.8,5.6,13.3,.420,2.6,6.8,.378,3.0,6.5,.465,.517,3.4,3.9,.867,0.5,3.1,3.5,5.8,0.7,0.1,1.8,1.8,17.1,,quickim01
77,De'Andre Hunter,27,2TM,SF,64,9,27.2,5.6,11.9,.470,2.5,6.1,.405,3.1,5.8,.537,.573,3.4,4.0,.846,0.7,3.3,4.0,1.4,0.8,0.2,1.3,2.4,17.0,6MOY-4,huntede01
77,De'Andre Hunter,27,ATL,SF,37,4,28.8,6.1,13.3,.461,2.6,6.7,.393,3.5,6.6,.531,.560,4.1,4.8,.858,0.7,3.2,3.9,1.5,0.8,0.1,1.6,2.4,19.0,,huntede01
77,De'Andre Hunter,27,CLE,SF,27,5,25.0,4.9,10.0,.485,2.2,5.2,.426,2.6,4.8,.550,.596,2.4,2.9,.821,0.6,3.6,4.2,1.3,0.7,0.3,0.9,2.5,14.3,,huntede01
78,Bradley Beal,31,PHO,SG,53,38,32.1,6.5,13.1,.497,1.9,5.0,.386,4.6,8.1,.565,.571,2.1,2.6,.803,0.6,2.7,3.3,3.7,1.1,0.5,1.9,2.6,17.0,,bealbr01
79,Deni Avdija,24,POR,SF,72,54,30.0,5.6,11.7,.476,1.7,4.8,.365,3.8,7.0,.552,.550,4.0,5.2,.780,1.5,5.7,7.3,3.9,1.0,0.5,2.7,2.4,16.9,,avdijde01
80,Keyonte George,21,UTA,PG,67,35,31.5,5.4,13.7,.391,2.6,7.6,.343,2.8,6.1,.449,.485,3.5,4.3,.818,0.4,3.4,3.8,5.6,0.7,0.1,2.7,1.7,16.8,,georgke01
81,Ivica Zubac,27,LAC,C,80,80,32.8,7.4,11.8,.628,0.0,0.0,,7.4,11.8,.628,.628,2.0,3.0,.661,3.8,8.9,12.6,2.7,0.7,1.1,1.6,2.1,16.8,DPOY-6DEF2,zubaciv01
82,Derrick White,30,BOS,SG,76,76,33.9,5.6,12.6,.442,3.5,9.1,.384,2.1,3.5,.593,.580,1.8,2.1,.839,0.9,3.6,4.5,4.8,0.9,1.1,1.7,1.8,16.4,DPOY-10,whitede01
83,Malik Beasley,28,DET,SG,82,18,27.8,5.6,13.1,.430,3.9,9.3,.416,1.7,3.7,.466,.579,1.2,1.7,.679,0.6,2.0,2.6,1.7,0.9,0.1,1.0,1.5,16.3,6MOY-2,beaslma01
84,Devin Vassell,24,SAS,SG,64,53,31.0,6.2,13.9,.443,2.5,6.7,.368,3.7,7.2,.513,.532,1.5,1.9,.792,0.5,3.5,4.0,2.9,1.3,0.5,1.4,1.7,16.3,,vassede01
85,Jordan Clarkson,32,UTA,SG,37,9,26.0,5.4,13.3,.408,2.3,6.3,.362,3.2,7.1,.448,.493,3.1,3.9,.797,0.7,2.5,3.2,3.7,0.8,0.2,2.3,1.4,16.2,,clarkjo01
86,Paul George,34,PHI,PF,41,41,32.5,6.0,13.9,.430,2.3,6.5,.358,3.6,7.4,.493,.514,1.9,2.4,.814,0.6,4.8,5.3,4.3,1.8,0.5,2.6,2.5,16.2,,georgpa01
87,Jalen Suggs,23,ORL,PG,35,35,28.6,5.6,13.7,.410,2.2,6.9,.314,3.5,6.8,.506,.489,2.8,3.1,.882,0.7,3.4,4.0,3.7,1.5,0.9,2.9,2.8,16.2,,suggsja01
88,Bennedict Mathurin,22,IND,SF,72,49,29.8,5.4,11.8,.458,1.4,4.0,.340,4.1,7.8,.519,.516,3.8,4.6,.831,1.2,4.1,5.3,1.9,0.7,0.3,1.9,2.3,16.1,,mathube01
89,Myles Turner,28,IND,C,72,72,30.2,5.4,11.3,.481,2.2,5.5,.396,3.3,5.8,.561,.577,2.6,3.3,.773,1.3,5.3,6.5,1.5,0.8,2.0,1.7,2.5,15.6,,turnemy01
90,Christian Braun,23,DEN,SG,79,77,33.9,6.0,10.4,.580,1.1,2.8,.397,4.9,7.6,.648,.634,2.2,2.7,.827,1.2,3.9,5.2,2.6,1.1,0.5,1.0,2.2,15.4,,braunch01
91,Jonathan Kuminga,22,GSW,PF,47,10,24.3,5.5,12.1,.454,1.0,3.2,.305,4.5,8.9,.508,.495,3.3,5.0,.668,1.2,3.4,4.6,2.2,0.8,0.4,1.5,1.9,15.3,,kuminjo01
92,Jared McCain,20,PHI,SG,23,8,25.7,5.5,11.9,.460,2.2,5.8,.383,3.3,6.1,.532,.553,2.1,2.4,.875,0.6,1.9,2.4,2.6,0.7,0.0,1.6,1.6,15.3,ROY-7,mccaija01
93,Mark Williams,23,CHO,C,44,41,26.6,6.1,10.2,.604,0.0,0.1,.000,6.1,10.1,.609,.604,3.0,3.7,.804,3.0,7.2,10.2,2.5,0.7,1.2,1.6,2.4,15.3,,willima07
94,Kelly Oubre Jr.,29,PHI,SF,60,57,34.6,5.8,12.4,.470,1.2,4.0,.293,4.6,8.3,.555,.518,2.3,3.1,.751,1.6,4.5,6.1,1.8,1.5,0.5,1.3,3.0,15.1,,oubreke01
95,Chet Holmgren,22,OKC,C,32,32,27.4,5.2,10.7,.490,1.4,3.6,.379,3.8,7.0,.547,.554,3.2,4.2,.754,1.5,6.5,8.0,2.0,0.7,2.2,1.8,2.3,15.0,,holmgch01
96,Kyle Kuzma,29,2TM,PF,65,62,29.8,5.7,13.0,.436,1.5,4.8,.307,4.2,8.2,.512,.493,2.0,3.1,.634,0.8,4.9,5.7,2.3,0.6,0.3,2.2,1.8,14.8,,kuzmaky01
96,Kyle Kuzma,29,WAS,PF,32,30,27.7,6.0,14.2,.420,1.4,5.0,.281,4.6,9.2,.495,.469,1.8,3.1,.602,0.8,4.9,5.8,2.5,0.6,0.2,2.3,1.6,15.2,,kuzmaky01
96,Kyle Kuzma,29,MIL,PF,33,32,31.8,5.4,11.9,.455,1.5,4.6,.333,3.9,7.3,.533,.520,2.1,3.2,.663,0.8,4.8,5.6,2.2,0.5,0.4,2.2,2.0,14.5,,kuzmaky01
97,Stephon Castle,20,SAS,PG,81,47,26.7,5.2,12.2,.428,1.2,4.1,.285,4.0,8.1,.501,.476,3.1,4.2,.724,1.1,2.6,3.7,4.1,0.9,0.3,2.2,2.0,14.7,ROY-1,castlst01
98,Aaron Gordon,29,DEN,PF,51,42,28.4,5.2,9.7,.531,1.5,3.4,.436,3.7,6.4,.582,.607,2.8,3.5,.810,1.6,3.3,4.8,3.2,0.5,0.3,1.4,1.6,14.7,,gordoaa01
